Datetime,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved
2018-08-20 7:55 AM,Pasig City,ORTIGAS EMERALD,14.586343,121.061481,EB,ACCIDENT,1.0,TAXI AND MC
2018-08-20 9:13 AM,Makati City,EDSA ROCKWELL,14.559818,121.040737,SB,ACCIDENT,1.0,SUV AND L300
2018-08-20 10:27 AM,San Juan,ORTIGAS CLUB FILIPINO,14.601845999999998,121.046754,EB,ACCIDENT,1.0,2 CARS
2018-08-20 12:33 PM,Quezon City,EDSA ORTIGAS ROBINSONS,14.592515,121.058225,NB,ACCIDENT,1.0,CAR AND BUS
2018-08-20 12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,NB,MULTIPLE COLLISION,2.0,3 CARS
2018-08-20 12:39 PM,Mandaluyong,EDSA LIGHT MALL,14.574014000000002,121.04841,NB,MULTIPLE COLLISION,2.0,3 CARS
2018-08-20 2:51 PM,Quezon City,EDSA FARMERS,14.619717,121.050978,NB,ACCIDENT,1.0,BUS AND CAR
2018-08-20 5:17 PM,Quezon City,C5 ATENEO KATIPUNAN,14.638481,121.07453999999998,NB,MULTIPLE COLLISION,1.0,"CLOSED VAN, TRUCK, CAR AND MC"
2018-08-20 7:19 PM,Marikina,MARCOS HIGHWAY LRT SANTOLAN,14.622242000000002,121.086405,EB,ACCIDENT,1.0,PUJ AND AUV
2018-08-20 7:44 PM,Pasay City,EDSA HERITAGE,14.537348,120.993593,NB,ACCIDENT,1.0,TAXI AND TRUCK
2018-08-21 10:00 AM,Quezon City,COMMONWEALTH DILIMAN,14.659263,121.06126100000002,EB,ACCIDENT,1.0,2 MC
2018-08-21 10:47 AM,Quezon City,C5 EASTWOOD,14.60728,121.078528,SB,ACCIDENT,1.0,MC AND SUV
2018-08-21 3:03 PM,Quezon City,NORTH AVE. AGHAM,14.653739000000002,121.038708,EB,ACCIDENT,2.0,VAN AND PUJ
2018-08-21 6:20 AM,Pasig City,MARCOS HIGHWAY LIGAYA,14.618807,121.092719,WB,ACCIDENT,1.0,VAN AND SUV
2018-08-21 6:30 AM,Quezon City,QUEZON AVENUE,14.639754,121.030335,WB,ACCIDENT,1.0,BUS AND CAR
2018-08-21 6:30 AM,Quezon City,QUEZON AVENUE,14.639754,121.030335,WB,ACCIDENT,1.0,BUS AND CAR
2018-08-21 6:41 AM,Quezon City,EDSA NEPA Q-MART,14.627928,121.047259,NB,ACCIDENT,1.0,BUS AND CAR
2018-08-21 6:42 AM,Quezon City,EDSA P. TUAZON,14.616404,121.052548,SB,ACCIDENT,1.0,2 SUV'S
2018-08-21 6:48 AM,Quezon City,C5 GREENMEADOWS,14.601442,121.079351,SB,ACCIDENT,1.0,CAR AND MC
2018-08-21 7:16 AM,Quezon City,COMMONWEALTH LUZON,14.66533,121.070469,WB,ACCIDENT,1.0,SUV AND PUJ
2018-08-21 7:20 AM,Quezon City,LUZON F/O,14.665241,121.070339,SB,ACCIDENT,1.0,CAR AND SUV
2018-08-22 8:15 AM,Makati City,EDSA ESTRELLA,14.559818,121.040737,SB,ACCIDENT,1.0,CAR AND AUV
2018-08-22 8:35 AM,Mandaluyong,EDSA RELIANCE,14.576702,121.050365,SB,ACCIDENT,1.0,CAR AND MC
2018-08-22 8:58 AM,Quezon City,QUEZON AVE. AGHAM,14.646323,121.040861,WB,ACCIDENT,1.0,CAR AND AUV
2018-08-22 8:59 AM,Pasay City,ROXAS BLVD. BUENDIA AVE.,14.552294,120.989491,NB,ACCIDENT,1.0,CAR AND BUS
2018-08-22 10:15 AM,Makati City,EDSA BUENDIA,14.554949,121.034967,SB,ACCIDENT,1.0,TAXI AND BUS
2018-08-22 10:37 AM,Makati City,EDSA BUENDIA SPLIT,14.555822,121.035928,SB,ACCIDENT,1.0,CAR AND SUV
2018-08-22 10:51 AM,Makati City,EDSA PET PLANS,14.561892000000002,121.04307,SB,ACCIDENT,1.0,CAR AND VAN
2018-08-22 10:58 AM,Quezon City,C5 LIBIS,14.603015,121.079256,NB,ACCIDENT,1.0,PICK UP ELF TRUCK
2018-08-22 1:40 PM,Mandaluyong,EDSA STARMALL,14.582431,121.054467,SB,ACCIDENT,1.0,2 BUSES
2018-08-22 2:05 PM,Mandaluyong,EDSA QUEZON AVENUE FLYOVER,14.582431,121.054467,NB,ACCIDENT,1.0,MOTORCYCLE
2018-08-22 2:21 PM,Pasay City,ROXAS BLVD. P.OCAMPO,14.559551,120.987075,SB,MULTIPLE COLLISION,1.0,"2 VAN, AUV AND TAXI"
2018-08-22 2:50 PM,Quezon City,AURORA BLVD. KATIPUNAN,14.631692,121.074217,WB,ACCIDENT,1.0,VAN AND MOTORCYCLE
2018-08-22 3:47 PM,Quezon City,COMMONWEALTH ATHERTON,14.708553,121.062717,EB,ACCIDENT,1.0,MOTORCYCLE AND PEDESTRIAN
2018-08-22 4:18 PM,Makati City,EDSA BUENDIA,14.554949,121.034967,NB,ACCIDENT,1.0,CAR AND VAN
2018-08-22 4:19 PM,Quezon City,KATIPUNAN CP GARCIA,14.648291,121.0744,NB,ACCIDENT,1.0,CAR AND TAXI
2018-08-22 4:40 PM,Quezon City,C5 CALLE INDUSTRIA,14.605472,121.079122,NB,ACCIDENT,1.0,CAR AND TAXI
2018-08-22 5:24 PM,Mandaluyong,EDSA STARMALL SERVICE ROAD,14.582431,121.054467,SB,ACCIDENT,2.0,2 BUS
2018-08-23 7:54 AM,Makati City,EDSA MRT SANTOLAN,14.566348,121.055583,SB,ACCIDENT,1.0,SUV AND MC
2018-08-23 8:08 AM,Quezon City,"QUEZON AVE, ARANETA TUNNEL",14.628351,121.013365,EB,ACCIDENT,1.0,VIOS AND MC
2018-08-23 8:45 AM,Pasig City,C5 BAGONG ILOG,14.564141,121.069619,SB,ACCIDENT,1.0,INNOVA AND MC
2018-08-23 8:53 AM,Makati City,EDSA MAGALLANES F/O,14.540271,121.016837,NB,ACCIDENT,2.0,"INNOVA, CAR AND MC"
2018-08-23 9:29 AM,Manila,LACSON FAJARDO,14.607495000000002,120.994955,NB,ACCIDENT,1.0,"INNOVA, CAR AND PUJ"
